Gene ID,Log2Ratio,p-value,Max RPKM
NM_152872,1.61,0.129,2703.7
NM_000043,1.61,0.166,4656.94
NM_152874,1.89,0.118,2007.91
NR_028035,2.03,0.178,681.55
NR_028036,2.24,0.134,2727.94
NR_028033,2.35,0.0968,1627.29
NM_000639,-3.77,0.0658,13.62
NM_004104,-2.15,0.175,2121360.82
NM_006712,-0.23,0.461,20079.16
NM_033015,-0.09,0.9,742.92
NM_024622,0.87,0.178,6919.35
NM_014929,-0.2,0.151,205.15
NM_001136193,0.21,0.658,16455.73
NM_001136194,0.61,0.262,14563.4
NM_024091,0.68,0.315,9721.14
NM_021826,1.04,0.12,24462.19
NM_005245,1.5,0.0991,240636.93
NM_001447,-1.25,0.329,649.32
NM_001008781,3.23,0.204,416.87
NM_024582,6.68,2.85e-05,22450.35
NM_033085,-1.23,0.347,2.34
NM_001997,0.13,0.691,44126.26
NM_032511,-2.57,0.0658,11434.82
NM_016348,-1.55,0.108,240.02
NM_032385,-1.51,0.15,282.05
NM_001080542,0.36,0.509,5479.05
NM_001436,1.11,0.0124,40429.07
NM_001024215,0.12,0.797,247.94
NM_001024216,3.17,0.131,6687.35
NM_017556,4.59,0.149,25065.95
NR_024356,0.61,0.559,243.08
NM_006487,1.87,0.327,608.13
NM_001996,2.07,0.235,35779.27
NM_006485,2.94,0.141,818.38
NM_006486,4.91,0.121,74407.73
NM_001004019,1.9,0.411,5966.87
NM_001998,6.3,0.293,42032.7
NM_006329,4.9,0.251,9491.59
NM_153214,5.16,0.359,3499.8
NM_001128165,5.33,0.358,3636.47
NM_000138,8.58,0.226,267508.15
NM_001999,4.37,0.227,4737.78
NM_032447,-7.54,0.196,2063.0
NM_000507,-9.97,0.00758,56994.56
NM_001127628,-6.16,0.0897,10022.83
NM_003837,-1.33,0.113,65.28
NM_001105079,-0.88,0.00925,39146.84
NM_001142641,-1.16,0.00865,39848.15
NM_017703,0.75,0.0844,4960.51
NM_001111038,0.6,0.58,89.77
NM_145032,1.57,0.295,93.89
NM_152441,-1.27,0.00288,3983.66
NM_024326,-1.99,0.00534,948.44
NM_153350,-3.08,0.00803,22319.55
NM_001163315,-0.56,0.0575,29286.87
NM_024963,-0.42,0.428,44682.52
NM_001099784,0.43,0.537,8161.18
NR_024348,-1.3,0.0715,5520.02
NM_012157,0.18,0.836,1693.32
NR_026953,-1.19,0.0759,6066.24
NM_032875,-1.03,0.0452,4233.25
NM_012159,5.52,0.206,45.93
NM_203373,-2.97,0.00874,757.04
NM_012158,0.0,0.993,27009.19
NM_012160,1.05,0.126,1340.83
NM_033535,-0.21,0.662,435.9
NM_012161,0.55,0.627,25694.63
NM_012162,-0.54,0.644,1448.76
NM_024555,0.83,0.365,2012.27
NM_012304,7.68,0.0344,24599.62
NM_018378,-1.86,0.0393,7019.82
NM_012166,0.55,0.284,6594.11
NM_012167,-0.72,0.383,413.49
NM_025133,0.09,0.749,28301.27
NM_018693,0.61,0.348,2365.44
NM_001142958,-2.64,0.0344,364.83
NM_152676,-2.43,0.0156,312.64
NM_172366,-1.48,0.133,632.17
NM_148169,0.65,0.204,3317.81
NM_024907,1.51,0.00222,10264.89
NM_032807,-0.55,0.35,10932.29
NM_178150,-0.34,0.541,26175.53
NM_012168,-0.25,0.615,2076.47
NM_033624,-0.87,0.0348,47734.15
NM_015002,-0.82,0.189,10218.61
NM_012170,-0.04,0.919,2639.7
NM_147188,0.0,1.0,16465.81
NR_003136,0.16,0.609,2342.43
NM_001163499,-1.35,0.0902,737.86
NM_033506,-0.9,0.326,489.63
NM_012172,0.32,0.744,481.95
NM_183420,-1.46,0.0164,3562.29
NM_012173,0.36,0.507,2951.91
NM_183421,2.44,0.0831,3144.48
NM_178820,0.27,0.789,8583.92
NM_015176,-0.47,0.465,60626.99
NM_001136115,-0.16,0.746,3262.84
NM_012175,-1.47,0.109,9335.0
NM_033406,-1.03,0.2,7532.0
NM_032145,1.77,0.000639,42198.34
NM_024735,0.04,0.923,12210.38
NR_024568,0.11,0.747,8757.42
NM_148177,1.82,0.291,6893.27
NM_058229,1.93,0.223,15097.43
NM_203301,-0.04,0.898,18172.45
NM_017943,-0.15,0.685,25885.97
NM_152231,0.5,0.409,5202.25
NM_174899,-1.37,0.0811,2102.47
NM_030793,-0.14,0.757,2635.14
NM_205836,0.35,0.178,15434.06
NM_153230,5.48,0.319,89.22
NM_012176,-0.31,0.624,2948.55
NM_033484,0.11,0.818,717.21
NM_016298,-0.67,0.113,70.4
NM_001080410,-1.31,0.0284,34755.24
NM_018994,0.24,0.431,12951.0
NM_001077528,1.76,0.144,1321.78
NM_001029860,3.33,0.069,1597.56
NM_033182,-1.12,0.237,1245.34
NM_001014765,-1.0,0.131,5162.12
NM_183412,0.06,0.911,676.0
NM_183413,0.22,0.775,2312.83
NM_001105573,-0.42,0.373,54895.04
NM_001080469,-0.89,0.0546,11573.06
NM_001008777,-4.61,0.202,24.37
NM_001024680,0.81,0.129,1070.86
NM_001142522,1.06,0.0593,16638.15
NM_012177,2.02,0.0313,10064.98
NM_018438,-1.57,0.0172,4603.24
NM_012179,0.59,0.138,31906.85
NM_001033024,1.22,0.325,2754.14
NM_012180,0.04,0.926,8804.15
NM_012347,-1.04,0.11,185.65
NM_033481,-0.7,0.344,555.26
NM_033480,-0.48,0.155,6102.91
NM_031456,0.99,0.375,61.14
NM_033645,0.18,0.711,14317.47
NM_012300,0.49,0.689,3710.97
NM_033644,0.7,0.262,5066.14
NM_207102,-2.43,0.155,2.49
NM_001159927,-2.24,0.167,2.27
NM_001159929,-2.2,0.149,2.15
NM_012164,-1.28,0.011,23087.56
NM_022039,-1.72,0.000611,29328.57
NM_018998,-0.52,0.44,4150.08
NM_018315,-0.65,0.303,756.18
NM_033632,-0.08,0.632,618.78
NM_001013415,-0.02,0.97,510.14
NM_012174,-0.96,0.116,17515.02
NM_153348,-0.39,0.285,7232.34
NM_032301,-0.38,0.232,4326.32
NM_001122979,1.0,0.347,0.5
NM_032029,1.05,0.347,0.48
NM_001122980,1.72,0.339,1.95
NM_133277,3.45,0.284,10.9
NM_133271,3.87,0.285,14.62
NM_133273,4.19,0.31,18.2
NM_133279,4.2,0.346,18.36
NM_133274,4.31,0.283,19.81
NM_133269,5.24,0.33,37.89
NM_133278,5.52,0.331,45.97
NM_002000,6.14,0.333,70.36
NM_133272,6.17,0.338,72.24
NM_004106,0.12,0.876,16.83
NM_015962,0.58,0.12,32405.07
NM_003890,-1.03,0.386,831.72
NM_000566,-7.37,0.0595,353.7
NM_001017986,-5.87,0.343,58.41
NM_001004340,-4.3,0.347,19.73
NR_027484,-2.0,0.19,7.77
NM_021642,-2.66,0.0988,471.43
NM_001136219,-2.59,0.0775,449.11
NM_001002273,-5.84,0.148,24.37
NM_001002274,-5.79,0.148,22.82
NM_001002275,-5.73,0.161,21.8
NM_004001,-5.69,0.15,21.53
NM_201563,-3.75,0.209,51.37
NM_000569,0.27,0.142,0.83
NM_001127592,0.27,0.141,0.83
NM_001127596,0.27,0.141,0.83
NM_001127593,0.27,0.141,0.83
NM_001127595,0.29,0.141,0.82
NM_000570,-0.95,0.679,3.85
NM_004107,-2.91,0.0935,8437.71
NM_001136019,1.93,0.2,592.66
NM_001161359,-3.45,0.208,621.1
NM_001161358,-3.14,0.307,614.29
NM_015122,-2.42,0.204,802.45
NM_001161357,-0.26,0.847,188.51
NM_138782,-0.33,0.415,8504.13
NM_001146032,-0.12,0.813,1481.63
NM_033449,0.61,0.567,4695.42
NM_014824,0.45,0.532,20548.07
NM_004108,-4.43,0.198,99.57
NM_015837,-3.88,0.25,60.65
NM_173452,-3.02,0.0767,18.61
NM_003665,-2.97,0.0681,18.81
NM_001159397,1.78,0.368,1.62
NM_001159398,1.79,0.369,1.66
NM_052938,1.82,0.366,1.68
NM_052939,1.95,0.347,0.26
NM_031281,0.18,0.347,1.13
NM_001004310,0.25,0.859,4.71
NM_032738,8.98,0.14,164.27
NM_001002901,0.04,0.964,87.73
NM_004462,0.92,0.332,135971.8
NM_001135821,0.04,0.956,8462.69
NM_001135822,0.75,0.107,47407.16
NM_002004,1.1,0.0577,9161.53
NR_003262,-1.31,0.0486,1132.05
NM_004109,0.59,0.253,13481.16
NM_001031734,0.74,0.0202,4262.67
NM_138378,0.8,0.375,3454.88
NM_004110,-2.4,0.0116,5737.09
NM_024417,-0.87,0.07,405.56
NM_000140,-1.51,0.0206,10026.44
NM_001012515,-0.48,0.392,2904.39
NM_018708,-0.33,0.18,50935.13
NM_015322,-0.71,0.0511,21158.29
NM_020177,0.3,0.375,41359.76
NM_004111,1.32,0.13,99094.63
NM_005246,1.31,0.103,4194.06
NR_024377,-2.31,0.277,13496.52
NM_001113382,-5.52,0.242,373.41
NM_001077400,-2.72,0.172,80.46
NM_001039112,0.31,0.742,20.4
NM_017671,2.68,0.176,9275.3
NM_001134999,0.08,0.41,966.82
NM_001135000,0.3,0.267,38.71
NM_006832,3.34,0.000356,74752.61
NM_178443,-0.58,0.167,2074.19
NM_031471,1.53,0.451,6684.85
NM_001143784,-0.79,0.504,10.82
NM_001143785,-0.72,0.582,6.76
NM_001143783,0.51,0.665,11.57
NM_002005,0.98,0.522,25.32
NM_014375,-0.45,0.224,1.36
NM_017521,-3.17,0.141,9.0
NM_022549,2.48,0.254,2716.07
NM_005103,2.9,0.351,13412.82
NM_001042548,-0.17,0.843,834.82
NM_005102,1.58,0.00445,9557.82
NM_001160264,0.15,0.928,43.58
NM_001024613,2.01,0.475,252.11
NM_018008,-2.14,0.177,4.41
NM_005303,-2.62,0.141,6.15
NM_005306,-1.71,0.0776,625.62
NM_005304,-1.11,0.641,5.84
NM_181745,-4.64,0.129,35.56
NM_021871,-4.22,0.283,109.97
NM_000508,-2.19,0.352,32.13
NM_005141,-5.34,0.134,49.67
NM_004463,-0.38,0.438,17642.33
NM_173558,-1.62,0.355,71.9
NM_001083536,-6.22,0.0966,2053.6
NM_033086,-5.41,0.029,1050.41
NM_139241,-2.78,0.0116,6411.34
NM_152536,-2.8,0.18,58.53
NM_018351,-1.13,0.174,12550.29
NM_033136,1.08,0.344,71.74
NR_026696,3.01,0.127,483.45
NM_001144892,3.28,0.0283,203.25
NM_000800,3.36,0.00882,368.3
NM_033137,3.45,0.00327,104.68
NR_026695,3.59,0.0321,736.98
NM_001144935,3.85,0.033,579.25
NM_001144934,4.49,0.0538,872.71
NM_004465,3.54,0.246,11.65
NM_004112,0.58,0.598,724.58
NM_004113,-1.58,0.308,919.66
NM_021032,2.97,0.349,6292.74
NM_004114,-7.45,0.336,3446.62
NM_033642,-5.4,0.343,2325.05
NM_001139500,-4.03,0.0783,3443.23
NM_001139498,-3.18,0.0614,413.13
NM_001139501,-1.35,0.425,1822.0
NM_001139502,-0.15,0.927,292.32
NM_004115,7.5,0.0445,428.08
NM_175929,7.52,0.0473,444.07
NM_003867,-1.82,0.295,16.52
NM_003862,1.14,0.492,355.22
NM_005117,-0.63,0.718,36.47
NM_002006,7.59,0.115,85864.0
NM_019851,1.62,0.157,3.06
NM_019113,2.51,0.369,83.86
NM_020637,-0.61,0.564,3.72
NM_020638,-0.59,0.386,38.05
NM_005247,-0.01,0.997,3.64
NM_002007,0.04,0.985,1.68
NM_033143,3.97,0.0305,14438.87
NM_004464,6.36,0.0292,26860.52
NM_020996,-1.36,0.347,2.56
NM_002009,-0.4,0.677,101.31
NM_033163,-2.53,0.0743,20.31
NM_033165,-2.25,0.0789,23.93
NM_033164,-2.11,0.0914,19.16
NM_006119,-1.56,0.142,26.8
NM_002010,-3.18,0.354,524.63
NM_005130,0.29,0.788,46.59
NM_031950,-7.22,0.322,265.66
NM_152429,-0.99,0.345,3105.68
NM_023110,-1.73,0.302,21400.58
NM_023108,0.2,0.751,3879.28
NM_015850,0.22,0.809,16440.66
NM_023107,0.27,0.536,3061.08
NM_023105,3.49,0.0009,31488.6
NM_023106,4.02,0.00148,49833.27
NM_194429,-1.9,0.245,2186.85
NM_007045,0.45,0.809,661.17
NM_015633,1.06,0.0472,6951.37
NM_022970,-6.5,0.187,11011.5
NM_001144919,-3.65,0.0845,528.98
NM_001144914,-2.64,0.0175,140.8
NM_001144913,-2.2,0.206,174.39
NM_000141,-2.07,0.301,980.74
NM_001144916,-1.74,0.456,1242.04
NM_001144915,-1.32,0.399,120.56
NM_001144917,-0.68,0.64,364.56
NM_001144918,1.43,0.544,1763.64
NM_001163213,-4.64,0.0751,13397.67
NM_022965,-4.17,0.0665,2703.43
NM_000142,-1.56,0.225,1883.82
NM_213647,-5.98,0.153,105200.49
NM_002011,-5.79,0.162,28815.94
NM_022963,-5.48,0.143,16671.49
NM_001004356,-1.65,0.241,15381.33
NM_001004358,1.16,0.322,62735.31
NM_021870,-8.18,0.275,168.62
NM_000509,-7.55,0.231,113.55
NM_001113411,0.53,0.162,189.36
NM_018291,0.58,0.53,1405.1
NM_201552,-1.87,0.331,1.21
NM_004467,-1.84,0.354,1.23
NM_147203,-0.32,0.164,1.25
NM_201553,1.05,0.344,0.48
NM_006682,-2.09,0.0143,116.4
NM_001042729,-0.45,0.613,4.48
NM_005248,0.87,0.616,11.64
NM_001042747,1.01,0.573,11.93
NM_000143,-0.13,0.826,44926.72
NM_052929,2.8,0.296,519.69
NM_033393,-2.97,0.0047,18431.72
NM_002012,-0.26,0.77,1139.35
NR_027621,1.84,0.0753,747.0
NM_001159700,2.4,0.0513,1655.12
NM_001159701,2.88,0.0872,1635.0
NM_001449,3.9,0.0384,13454.93
NM_001159702,4.25,0.0827,1102.66
NM_001159704,4.63,0.13,764.91
NM_001159703,6.69,0.22,5773.52
NM_001159699,8.11,0.343,79599.71
NM_201557,-0.65,0.709,323.87
NM_201555,0.46,0.558,131.43
NM_001039492,0.96,0.408,1505.35
NM_001450,2.49,0.118,28121.08
NM_004468,2.31,0.0603,2855.03
NM_013241,0.26,0.743,25104.38
NM_025135,2.68,0.0619,2533.94
NM_001145106,-3.84,0.0429,14500.61
NM_032843,-2.7,0.0684,3852.2
NM_203371,2.22,0.131,1060.75
NM_004214,-0.02,0.963,13408.29
NM_198897,0.66,0.344,3227.28
NM_007076,-0.8,0.0978,4449.95
NM_014845,-0.11,0.794,6719.98
NM_004469,-0.76,0.574,168.02
NM_001004311,0.97,0.556,3.92
NM_018086,1.93,0.00938,8567.15
NM_022116,-0.18,0.758,4723.64
NM_001042762,0.29,0.728,7018.12
NM_001013690,-1.22,0.476,364.98
NM_015687,-1.18,0.392,31.02
NM_182909,-5.01,0.212,261.49
NM_001042459,-3.84,0.193,352.31
NM_014890,0.97,0.651,297.03
NM_001134937,1.38,0.255,584.61
NM_001134938,2.07,0.0349,8898.17
NM_030917,2.1,0.075,1311.15
NM_016068,-0.51,0.37,17436.86
NM_203402,-1.45,0.177,117.71
NM_001080472,-0.58,0.237,5784.77
NM_032836,-0.27,0.415,9537.03
NM_014344,1.79,0.043,60040.68
NM_021939,2.5,0.0256,167122.09
NM_001143781,0.66,0.365,389.52
NM_016594,1.4,0.164,4478.55
NM_001143782,1.4,0.118,647.28
NM_017946,0.92,0.0756,22407.75
NM_015258,-0.42,0.484,12376.19
NM_054014,1.21,0.117,2445.87
NM_000801,2.04,0.0148,68886.46
NR_024162,1.46,0.0636,3641.67
NM_054033,0.78,0.435,247.95
NM_004116,1.07,0.443,331.21
NM_004470,-0.29,0.601,3118.41
NM_057092,0.06,0.865,3851.6
NM_001135208,1.54,0.0521,844.91
NM_002013,-0.03,0.931,41075.96
NM_002014,-2.25,0.045,522882.77
NM_001145775,-0.22,0.687,393.28
NM_001145777,0.24,0.805,1237.56
NM_001145776,0.4,0.782,7428.67
NM_004117,1.04,0.564,79439.87
NM_001135211,-3.45,0.179,10.91
NM_001135212,2.46,0.000428,2355.26
NM_181342,4.37,0.000641,8938.72
NM_012181,-0.23,0.513,13266.93
NM_007270,0.95,0.167,73885.19
NR_003949,1.21,0.177,5660.75
NR_027339,1.24,0.407,129.35
NR_027340,1.3,0.164,2981.06
NR_027342,2.5,0.396,445.67
NM_022110,0.77,0.235,7702.88
NM_024301,0.82,0.276,2439.87
NM_001039885,0.91,0.109,11739.77
NR_024013,-1.59,0.322,16.49
NM_001079802,-0.63,0.341,24656.04
NM_006731,-0.1,0.607,1109.39
NM_201398,-0.76,0.28,4489.36
NM_025207,-0.44,0.498,10546.58
NM_144997,-0.03,0.963,21816.6
NM_144606,0.67,0.527,2373.14
NM_002016,7.12,0.309,6732.61
NM_001014342,0.51,0.687,136.64
NM_002017,7.6,0.216,909.32
NM_002018,-0.07,0.856,58314.65
NR_026891,-1.62,0.341,8003.28
NR_026655,-3.39,0.204,3386.33
NR_026804,-1.84,0.191,697.82
NR_026806,-2.78,0.0828,152.09
NR_024389,1.21,0.509,19.65
NR_026900,-2.27,0.0645,49913.63
NM_001145553,-1.48,0.102,75.39
NR_024372,2.18,0.141,4.53
NR_027257,0.26,0.855,22.92
NR_026674,-0.27,0.709,115.57
NR_028351,-1.22,0.188,88.68
NR_027060,-9.66,0.336,811.31
NR_015375,-0.09,0.936,242.99
NR_027084,-5.05,0.183,784.24
NR_027441,-3.03,9.53e-05,352.78
NR_026835,-1.26,0.114,1098.04
NR_024279,-1.06,0.0366,6505.25
NR_024417,-1.35,0.0507,95.76
NR_024413,-2.91,0.272,153.08
NR_024492,-1.31,0.0383,13639.89
NM_207422,-0.5,0.335,20341.48
NM_001001685,-0.85,0.572,17.61
NM_001110556,0.39,0.344,3932.89
NM_001456,1.67,0.0156,1776596.71
NM_001457,-3.1,0.016,268717.2
NM_001164317,-0.96,0.402,44157.81
NM_001164318,-0.86,0.18,3683.79
NM_001164319,1.25,0.23,237174.92
NM_001458,7.61,0.159,86024.93
NM_001127487,8.46,0.13,54960.65
NM_005803,-0.44,0.181,55564.73
NM_004475,-0.75,0.186,68353.06
NM_013280,-0.23,0.686,975.78
NM_013231,10.0,0.016,32441.92
NM_198391,-0.84,0.467,1091.63
NM_013281,-0.01,0.996,1695.52
NM_001160030,-4.0,0.248,16.0
NM_001159920,-3.94,0.346,35.6
NM_002019,-0.79,0.176,1.73
NM_001160031,-0.64,0.216,1.56
NM_004119,-9.19,0.13,1733.93
NM_001459,0.91,0.32,1473.45
NM_182925,-6.24,0.316,5977.89
NM_002020,-4.21,0.311,1660.79
NM_014053,-0.55,0.326,14726.9
NR_027285,-0.49,0.62,1555.89
NR_027286,0.68,0.174,109.24
NM_017791,-0.21,0.892,7130.51
NM_032296,-0.15,0.769,7225.49
NM_020912,0.08,0.787,7501.73
NM_138439,-1.24,0.000781,14270.63
NM_001142500,-0.28,0.376,834.45
NM_001142499,-0.26,0.428,233.75
NM_001103184,-2.2,0.0809,14687.57
NM_020066,0.07,0.967,274.82
NM_005892,1.9,0.326,12760.24
NM_052905,2.6,0.00308,29842.07
NM_175736,0.86,0.0999,8949.6
NM_198900,0.88,0.237,4484.55
NM_002021,-0.24,0.854,9.93
NM_001460,-2.77,0.17,20.76
NM_006894,-1.05,0.626,46.36
NM_001002294,-1.03,0.632,46.93
NM_002022,-1.97,0.00586,1720.37
NM_001461,-3.77,0.013,2316.93
NM_001144830,-3.41,0.0201,439.77
NM_001144829,-3.4,0.00655,320.77
NR_002601,-1.14,0.347,2.2
NR_002925,-3.97,0.189,15.69
NM_002023,-8.84,0.141,132531.28
NM_002024,-0.05,0.936,10826.37
NR_024502,-0.05,0.892,484.62
NR_024503,0.64,0.35,560.18
NR_024500,1.8,0.105,463.89
NM_152578,1.21,0.431,14.27
NM_212478,1.02,0.464,11405.45
NM_212474,1.1,0.582,5447.49
NM_212475,1.9,0.269,14454.41
NM_002026,5.13,0.217,28190.0
NM_212482,5.24,0.311,134021.13
NM_054034,5.26,0.302,33645.96
NM_212476,5.45,0.341,89986.72
NM_022158,-1.22,0.108,4750.12
NM_024619,-0.68,0.149,34004.92
NM_015033,1.51,0.0993,3151.99
NM_001024948,-1.73,0.0315,51508.05
NM_017737,0.73,0.295,10427.46
NM_015308,0.19,0.506,25190.24
NM_032532,3.19,0.321,19255.51
NM_014923,0.64,0.596,4149.74
NM_001079673,0.86,0.075,24070.03
NM_001135095,1.17,0.196,7088.18
NM_022763,1.19,0.00633,94692.42
NM_022823,2.28,0.285,2655.36
NM_153756,2.86,0.291,1255.99
NM_001144937,4.11,0.167,17.26
NM_017559,-0.3,0.544,427.16
NM_001001343,0.52,0.586,13.5
NM_133372,-4.36,0.000212,30061.99
NM_001008738,1.55,0.0235,36427.98
NM_020840,0.88,0.142,18977.74
NM_001018676,-0.09,0.845,1690.89
NM_002027,0.24,0.674,16800.78
NM_001018677,0.65,0.247,2209.35
NM_002028,-1.03,0.0556,9538.09
NM_017794,-1.15,0.12,24754.32
NM_001014986,-5.94,0.212,185.34
NM_004476,-4.59,0.239,226.33
NM_153696,-6.07,0.113,134.71
NM_016729,-8.79,0.0922,5316.78
NM_016724,-7.86,0.182,3075.24
NM_016725,-6.54,0.124,1058.86
NM_016730,-6.47,0.281,851.02
NM_000802,-4.22,0.0263,213.79
NM_001113535,-3.25,0.0978,4.66
NM_001113536,-3.13,0.106,4.23
NM_000803,-2.41,0.0803,2.57
NM_001113534,-2.26,0.0467,2.39
NM_000804,2.86,0.0817,7.29
NM_001080486,-1.03,0.347,2.04
NM_144600,-0.19,0.425,34326.63
NM_005252,-6.13,0.142,81943.71
NM_001114171,-1.62,0.391,1563.89
NM_006732,-0.33,0.749,400.36
NM_005438,7.67,0.000509,80439.33
NM_005253,0.96,0.106,81185.96
NM_004496,-6.96,1.18e-05,251877.98
NM_153675,3.94,0.229,422.02
NM_021784,7.66,0.307,8158.75
NM_004497,-2.5,0.434,4674.6
NM_012182,3.03,0.407,103.44
NM_001013735,-0.29,0.768,21.96
NM_001453,2.79,0.0827,41865.9
NM_005251,8.06,0.137,7718.04
NM_004472,3.11,0.0287,42518.05
NM_004474,-1.17,0.23,7455.48
NR_026878,0.96,0.366,6710.32
NM_012183,-0.65,0.348,343.76
NM_207305,-0.32,0.642,577.2
NM_012184,0.07,0.933,177.51
NM_001085476,-1.54,0.0574,146.75
NM_199135,-0.9,0.321,68.32
NM_199244,-2.33,0.206,15.98
NM_001126334,-1.88,0.0194,226.34
NM_199244,-1.37,0.135,214.07
NM_004473,8.23,0.266,5877.75
NM_012186,0.11,0.904,74.93
NM_001451,0.07,0.966,1508.95
NM_001452,6.67,0.115,9664.98
NM_005249,6.0,0.351,5195.38
NM_003923,-1.48,0.0612,582.43
NM_012188,-2.51,0.41,1086.74
NM_144769,-2.26,0.289,135.21
NM_207426,-0.86,0.101,14.28
NM_001135649,-6.51,0.0531,672.06
NM_001454,-11.67,0.274,3259.01
NM_018416,-0.32,0.503,41073.8
NM_014947,0.69,0.0426,65019.65
NM_001037165,0.34,0.265,72751.8
NM_004514,-0.57,0.229,117158.76
NM_005250,0.67,0.655,728.77
NM_023067,2.45,0.424,2558.41
NM_202002,0.04,0.968,6170.87
NM_202003,0.78,0.224,27814.01
NM_021953,1.1,0.133,28583.31
NM_003593,-9.1,0.0647,663.28
NM_002158,0.91,0.105,29701.68
NM_005197,0.27,0.506,38264.06
NM_001085471,0.38,0.508,13252.41
NR_024620,0.99,0.547,4.38
NM_213596,-5.88,0.322,182.58
NM_002015,-0.67,0.174,6370.83
NM_201559,-1.56,0.129,39715.56
NM_001455,-0.13,0.799,17373.31
NR_026718,0.34,0.391,12641.17
NM_005938,-1.5,0.0646,7981.47
NM_001012505,-1.22,0.03,702.04
NM_032682,1.35,0.139,14091.45
NM_148898,-2.59,0.219,615.17
NM_148899,-0.41,0.788,167.69
NM_014491,0.31,0.751,134.89
NM_001114377,-1.72,0.0316,1092.1
NM_014009,-1.7,0.0284,998.57
NM_001012426,-1.56,0.102,35461.03
NM_138457,-1.11,0.17,22854.74
NM_001012427,0.09,0.867,9307.78
NM_033260,5.72,0.0897,6594.37
NM_181721,-0.07,0.969,1.6
NM_198451,8.44,0.348,2111.38
NM_017547,-0.09,0.94,7963.33
NM_024955,-0.25,0.81,20301.67
NM_001102371,-0.25,0.722,6888.67
NM_004118,6.11,0.206,1078.76
NM_001018078,-0.29,0.598,12876.92
NM_004957,-0.18,0.588,8107.3
NM_003838,0.56,0.555,9574.73
NM_001112808,0.72,0.452,1048.51
NM_002029,1.58,0.471,66.39
NM_001005738,-2.96,0.413,0.81
NM_001462,2.05,0.482,3.41
NM_002030,-1.39,0.58,11.78
NM_145246,-1.27,0.392,7315.22
NM_025074,0.66,0.742,5032.23
NM_005479,-2.69,0.00831,11257.25
NM_012083,-1.61,0.000891,28911.74
NM_144966,-1.11,0.455,7.03
NM_207361,-6.17,0.323,87488.89
NM_004477,0.85,0.0348,6731.18
NR_003579,-0.45,0.424,1232.15
NM_001005217,-0.69,0.401,12.84
NM_001080998,0.68,0.647,3.49
NM_001124759,-0.26,0.755,24.91
NM_002031,-4.83,0.0364,7707.21
NM_001122841,-6.86,0.33,59.83
NM_024919,-6.43,0.333,44.37
NM_174938,-0.18,0.904,2341.05
NM_018027,0.02,0.975,28672.59
NM_015123,-1.28,0.136,1159.67
NM_032892,4.3,0.0424,2100.38
NM_152330,1.78,0.15,8780.73
NM_001042481,6.05,0.198,34370.91
NM_194277,-2.4,0.113,28.37
NM_031904,-1.32,0.0935,18408.75
NM_014907,-7.43,0.28,562.75
NM_152428,-3.85,0.0679,14.39
NM_001018071,-3.63,0.129,12.37
NM_014728,5.35,0.147,93.02
NM_001013660,-0.48,0.53,3955.98
NM_014334,-0.01,0.995,7.36
NM_001042555,-2.65,0.102,131961.16
NM_006654,-2.09,0.0102,11687.84
NM_006653,0.48,0.194,2363.61
NM_023037,0.21,0.834,1176.57
NM_015030,-1.38,0.261,3752.21
NM_001463,0.61,0.45,85.2
NM_003088,6.03,0.121,169048.58
NM_012418,-2.74,0.0649,415.8
NM_001077182,-2.73,0.0424,430.62
NM_020369,6.7,0.347,103.84
NM_024333,5.2,0.0852,2016.93
NM_031919,0.48,0.202,52.74
NM_207647,0.63,0.373,2912.69
NM_001145313,0.87,0.09,873.04
NM_001007122,0.23,0.858,5.16
NM_152597,-0.72,0.477,618.86
NM_006350,5.99,0.0775,1296.85
NM_013409,8.6,0.0466,5554.25
NM_007085,6.29,0.145,750019.6
NM_005860,3.04,0.145,37752.47
NM_015082,-8.26,0.159,2912.81
NM_001128428,-1.68,0.527,774.24
NM_020116,-0.73,0.723,268.42
NM_001128427,-0.63,0.756,290.32
NM_206965,-1.17,0.37,70.28
NM_006657,-0.59,0.612,19.54
NM_002032,0.29,0.812,558842.79
NR_002201,0.72,0.117,1014.99
NM_031894,1.0,0.543,4.39
NM_000146,2.86,0.00276,930833.01
NR_015446,-1.59,0.06,36.55
NM_177478,2.02,0.221,17.41
NM_001080432,0.41,0.102,44095.63
NM_012280,0.84,0.0702,15847.83
NM_177439,0.88,0.302,558.21
NM_013393,0.16,0.798,5104.39
NM_017647,0.09,0.878,4037.85
NM_003902,0.25,0.525,44996.1
NM_003934,-0.33,0.148,31094.34
NM_000147,-1.44,0.0827,8439.66
NM_032020,1.29,0.0181,62381.22
NM_145059,-2.72,0.000133,16239.42
NM_173794,-1.04,0.052,10503.34
NM_023934,-0.38,0.488,38155.28
NR_003663,-0.61,0.347,48.97
NM_001098483,0.98,0.455,107.17
NM_198472,2.53,0.127,1447.88
NM_002569,0.17,0.725,38039.48
NM_004960,-3.71,0.165,10962.22
NM_000148,-3.71,0.0108,9210.39
NM_032664,0.18,0.856,5067.01
NM_173540,1.26,0.0727,10293.5
NM_000511,-4.5,0.131,3898.82
NM_001097638,-2.18,0.0276,700.47
NM_000149,-6.33,0.264,1000.64
NM_001097639,-5.62,0.286,1164.76
NM_001097641,-4.05,0.208,292.92
NM_001097640,-3.16,0.106,240.05
NM_002033,0.79,0.359,5098.03
