,Gene ID,Log2Ratio,p-value,Max RPKM,Entrez To,Official Gene Symbol To,Species,Gene Name
5103,NM_022111,2.08,0.0275,20778.21,63967,CLSPN,Homo sapiens,claspin(CLSPN)
5105,NM_014944,2.86,0.0119,89609.57,22883,CLSTN1,Homo sapiens,calsyntenin 1(CLSTN1)
5140,NM_016308,1.03,0.00326,126150.51,51727,CMPK1,Homo sapiens,cytidine/uridine monophosphate kinase 1(CMPK1)
5141,NM_001136140,1.71,0.0149,14681.25,51727,CMPK1,Homo sapiens,cytidine/uridine monophosphate kinase 1(CMPK1)
5143,NM_032359,1.93,0.00053,22935.84,84319,CMSS1,Homo sapiens,cms1 ribosomal small subunit homolog(CMSS1)
5153,NM_144601,1.34,0.0323,1163.97,123920,CMTM3,Homo sapiens,CKLF like MARVEL transmembrane domain containing 3(CMTM3)
5155,NM_181554,1.63,0.00659,1517.34,123920,CMTM3,Homo sapiens,CKLF like MARVEL transmembrane domain containing 3(CMTM3)
5156,NM_181553,3.75,0.0151,17092.73,123920,CMTM3,Homo sapiens,CKLF like MARVEL transmembrane domain containing 3(CMTM3)
5160,NM_138410,2.29,0.049,12613.99,112616,CMTM7,Homo sapiens,CKLF like MARVEL transmembrane domain containing 7(CMTM7)
5161,NM_181472,2.66,0.00692,2950.08,112616,CMTM7,Homo sapiens,CKLF like MARVEL transmembrane domain containing 7(CMTM7)
5191,NM_173515,1.98,0.0349,12342.43,154043,CNKSR3,Homo sapiens,CNKSR family member 3(CNKSR3)
5194,NM_201277,3.19,0.0476,35598.93,1265,CNN2,Homo sapiens,calponin 2(CNN2)
5214,NM_054026,1.54,0.00299,10484.45,29883,CNOT7,Homo sapiens,CCR4-NOT transcription complex subunit 7(CNOT7)
5230,NM_015463,10.14,0.0439,4096.26,25927,CNRIP1,Homo sapiens,cannabinoid receptor interacting protein 1(CNRIP1)
5235,NM_000614,1.12,0.0378,1430.28,1270,CNTF,Homo sapiens,ciliary neurotrophic factor(CNTF)
5251,NM_003632,4.22,0.00883,44910.3,8506,CNTNAP1,Homo sapiens,contactin associated protein 1(CNTNAP1)
5265,NM_023077,1.17,0.024,23750.61,65260,COA7,Homo sapiens,cytochrome c oxidase assembly factor 7(COA7)
5321,NM_001856,5.69,0.0266,23112.25,1307,COL16A1,Homo sapiens,collagen type XVI alpha 1 chain(COL16A1)
5389,NM_024656,2.29,0.00696,307523.94,79709,COLGALT1,Homo sapiens,collagen beta(1-O)galactosyltransferase 1(COLGALT1)
5390,NM_015101,4.76,0.0469,2528.39,23127,COLGALT2,Homo sapiens,collagen beta(1-O)galactosyltransferase 2(COLGALT2)
5430,NM_003653,1.39,0.0228,17190.88,8533,COPS3,Homo sapiens,COP9 signalosome subunit 3(COPS3)
5446,NM_015697,1.5,0.0359,11311.57,27235,COQ2,Homo sapiens,"coenzyme Q2, polyprenyltransferase(COQ2)"
5458,NM_014325,2.75,0.000199,290269.69,23603,CORO1C,Homo sapiens,coronin 1C(CORO1C)
5461,NM_006091,5.11,0.0108,1702.99,10391,CORO2B,Homo sapiens,coronin 2B(CORO2B)
5465,NM_021149,3.56,0.00278,276442.38,23406,COTL1,Homo sapiens,coactosin like F-actin binding protein 1(COTL1)
5472,NM_004376,1.05,0.00845,526.36,1355,COX15,Homo sapiens,cytochrome c oxidase assembly homolog COX15(COX15)
5546,NM_153634,4.61,0.042,8723.32,144402,CPNE8,Homo sapiens,copine 8(CPNE8)
5549,NM_000097,1.36,0.0274,32150.4,1371,CPOX,Homo sapiens,coproporphyrinogen oxidase(CPOX)
5651,NM_182770,1.84,0.0226,915.8,1390,CREM,Homo sapiens,cAMP responsive element modulator(CREM)
5654,NM_182717,2.39,0.0365,452.83,1390,CREM,Homo sapiens,cAMP responsive element modulator(CREM)
5655,NM_182720,3.07,0.0331,478.47,1390,CREM,Homo sapiens,cAMP responsive element modulator(CREM)
5659,NM_016441,2.39,0.00544,274276.93,51232,CRIM1,Homo sapiens,cysteine rich transmembrane BMP regulator 1(CRIM1)
5680,NM_019095,1.31,0.00096,21187.05,54675,CRLS1,Homo sapiens,cardiolipin synthase 1(CRLS1)
5694,NM_006371,1.27,0.0152,154244.22,10491,CRTAP,Homo sapiens,cartilage associated protein(CRTAP)
5725,NM_001130042,1.37,0.0169,5202.21,1429,CRYZ,Homo sapiens,crystallin zeta(CRYZ)
5737,NM_172210,1.6,0.00953,97.33,1435,CSF1,Homo sapiens,colony stimulating factor 1(CSF1)
5740,NM_000757,6.0,0.0231,68471.5,1435,CSF1,Homo sapiens,colony stimulating factor 1(CSF1)
5784,NM_001892,1.72,0.0285,80372.39,1452,CSNK1A1,Homo sapiens,casein kinase 1 alpha 1(CSNK1A1)
5802,NR_002207,1.19,0.0408,52500.54,283106,CSNK2A3,Homo sapiens,casein kinase 2 alpha 3(CSNK2A3)
5804,NM_001897,3.71,0.0328,54469.32,1464,CSPG4,Homo sapiens,chondroitin sulfate proteoglycan 4(CSPG4)
5813,NM_001321,4.26,0.0109,8061.62,1466,CSRP2,Homo sapiens,cysteine and glycine rich protein 2(CSRP2)
5884,NM_001143775,1.01,0.00766,33085.88,23399,CTDNEP1,Homo sapiens,CTD nuclear envelope phosphatase 1(CTDNEP1)
5885,NM_015343,1.26,0.0497,1909.43,23399,CTDNEP1,Homo sapiens,CTD nuclear envelope phosphatase 1(CTDNEP1)
5908,NM_003798,2.65,0.0202,9911.82,8727,CTNNAL1,Homo sapiens,catenin alpha like 1(CTNNAL1)
5910,NM_001098209,1.07,0.0197,66480.28,1499,CTNNB1,Homo sapiens,catenin beta 1(CTNNB1)
5911,NM_001098210,1.53,0.0436,66106.31,1499,CTNNB1,Homo sapiens,catenin beta 1(CTNNB1)
5918,NM_001905,1.67,0.00672,39782.56,1503,CTPS1,Homo sapiens,CTP synthase 1(CTPS1)
5933,NM_001908,5.8,0.0479,561834.16,1508,CTSB,Homo sapiens,cathepsin B(CTSB)
5935,NM_001814,2.95,0.00395,64029.68,1075,CTSC,Homo sapiens,cathepsin C(CTSC)
5955,NM_018704,1.22,0.00217,36356.45,55917,CTTNBP2NL,Homo sapiens,CTTNBP2 N-terminal like(CTTNBP2NL)
5958,NM_001012762,1.48,0.0426,3815.18,348180,CTU2,Homo sapiens,cytosolic thiouridylase subunit 2(CTU2)
5978,NM_001014433,1.8,0.0316,7000.44,51596,CUTA,Homo sapiens,cutA divalent cation tolerance homolog(CUTA)
5979,NM_015921,2.03,0.000665,39861.74,51596,CUTA,Homo sapiens,cutA divalent cation tolerance homolog(CUTA)
6000,NM_005409,4.1,0.0274,38.79,6373,CXCL11,Homo sapiens,C-X-C motif chemokine ligand 11(CXCL11)
6009,NM_002089,8.16,0.0465,9590.61,2920,CXCL2,Homo sapiens,C-X-C motif chemokine ligand 2(CXCL2)
6049,NM_153611,2.1,0.0112,29385.58,220002,CYB561A3,Homo sapiens,cytochrome b561 family member A3(CYB561A3)
6156,NM_001146152,1.7,0.00212,14364.15,1595,CYP51A1,Homo sapiens,cytochrome P450 family 51 subfamily A member 1(CYP51A1)
6191,NM_139179,1.07,0.015,29622.71,221955,DAGLB,Homo sapiens,diacylglycerol lipase beta(DAGLB)
6192,NM_001142936,2.19,0.0078,1875.85,221955,DAGLB,Homo sapiens,diacylglycerol lipase beta(DAGLB)
6214,NM_001141969,1.49,0.00511,50343.6,1616,DAXX,Homo sapiens,death domain associated protein(DAXX)
6230,NM_004395,1.29,0.0262,45638.63,1627,DBN1,Homo sapiens,drebrin 1(DBN1)
6231,NM_080881,1.52,0.0268,1267.75,1627,DBN1,Homo sapiens,drebrin 1(DBN1)
6282,NM_173674,1.39,0.0342,1072.46,285761,DCBLD1,Homo sapiens,"discoidin, CUB and LCCL domain containing 1(DCBLD1)"
6295,NM_001040261,4.8,0.0348,3701.65,166614,DCLK2,Homo sapiens,doublecortin like kinase 2(DCLK2)
6305,NM_133505,4.03,0.0405,37.63,1634,DCN,Homo sapiens,decorin(DCN)
6320,NM_001012732,1.73,0.0366,48759.54,1635,DCTD,Homo sapiens,dCMP deaminase(DCTD)
6340,NM_032299,1.4,0.00303,15862.84,84259,DCUN1D5,Homo sapiens,defective in cullin neddylation 1 domain containing 5(DCUN1D5)
6348,NM_001134445,6.62,0.00334,43330.4,23576,DDAH1,Homo sapiens,dimethylarginine dimethylaminohydrolase 1(DDAH1)
6379,NM_004398,1.02,0.0195,33905.27,1662,DDX10,Homo sapiens,DEAD-box helicase 10(DDX10)
6394,NM_004728,1.38,0.00721,293512.94,9188,DDX21,Homo sapiens,DExD-box helicase 21(DDX21)
6405,NM_004640,1.02,0.0286,106170.68,7919,DDX39B,Homo sapiens,DExD-box helicase 39B(DDX39B)
6434,NM_017418,2.19,0.00713,4.56,50514,DELEC1,Homo sapiens,deleted in esophageal cancer 1(DELEC1)
6454,NM_003472,1.5,0.0423,161180.7,7913,DEK,Homo sapiens,DEK proto-oncogene(DEK)
6463,NM_014957,1.29,0.00425,6253.77,22898,DENND3,Homo sapiens,DENN domain containing 3(DENND3)
6468,NM_015213,1.38,0.00966,52788.72,23258,DENND5A,Homo sapiens,DENN domain containing 5A(DENND5A)
6474,NM_017779,4.52,0.000892,40147.84,55635,DEPDC1,Homo sapiens,DEP domain containing 1(DEPDC1)
6482,NM_001077242,3.44,0.0169,1681.19,91614,DEPDC7,Homo sapiens,DEP domain containing 7(DEPDC7)
6492,NM_015704,1.07,0.043,2876.94,27351,DESI1,Homo sapiens,desumoylating isopeptidase 1(DESI1)
6498,NM_213566,1.4,0.0379,14281.55,1676,DFFA,Homo sapiens,DNA fragmentation factor subunit alpha(DFFA)
6499,NM_004401,1.41,0.0299,23465.41,1676,DFFA,Homo sapiens,DNA fragmentation factor subunit alpha(DFFA)
6501,NM_001127454,1.15,0.00697,231.22,1687,GSDME,Homo sapiens,gasdermin E(GSDME)
6502,NM_004403,2.64,0.045,7608.8,1687,GSDME,Homo sapiens,gasdermin E(GSDME)
6503,NM_001127453,2.64,0.0295,12292.38,1687,GSDME,Homo sapiens,gasdermin E(GSDME)
6532,NM_004717,8.09,0.00519,3100.53,9162,DGKI,Homo sapiens,diacylglycerol kinase iota(DGKI)
6581,NM_001164239,1.0,0.0359,552.46,8449,DHX16,Homo sapiens,DEAH-box helicase 16(DHX16)
6586,NM_020162,1.43,0.000318,22373.71,56919,DHX33,Homo sapiens,DEAH-box helicase 33(DHX33)
6603,NM_006729,1.64,0.0312,7471.12,1730,DIAPH2,Homo sapiens,diaphanous related formin 2(DIAPH2)
6604,NM_001042517,1.8,0.00587,23133.5,81624,DIAPH3,Homo sapiens,diaphanous related formin 3(DIAPH3)
6605,NM_030932,2.0,0.00748,6400.24,81624,DIAPH3,Homo sapiens,diaphanous related formin 3(DIAPH3)
6614,NM_014473,1.35,0.0278,16444.49,27292,DIMT1,Homo sapiens,DIM1 rRNA methyltransferase and ribosome maturation factor(DIMT1)
6649,NR_026964,1.28,0.0127,107.67,26102,DKFZP434A062,Homo sapiens,uncharacterized LOC26102(DKFZP434A062)
6659,NM_013253,3.2,7.01e-05,603.85,27122,DKK3,Homo sapiens,dickkopf WNT signaling pathway inhibitor 3(DKK3)
6660,NM_015881,3.8,0.0103,831.34,27122,DKK3,Homo sapiens,dickkopf WNT signaling pathway inhibitor 3(DKK3)
6696,NM_014750,1.56,0.029,38896.64,9787,DLGAP5,Homo sapiens,DLG associated protein 5(DLGAP5)
6698,NM_023932,2.05,0.00021,3667.71,65989,DLK2,Homo sapiens,delta like non-canonical Notch ligand 2(DLK2)
6699,NM_206539,2.66,0.000141,5126.01,65989,DLK2,Homo sapiens,delta like non-canonical Notch ligand 2(DLK2)
6707,NM_004405,1.99,0.0375,2610.51,1746,DLX2,Homo sapiens,distal-less homeobox 2(DLX2)
6815,NM_007034,3.44,0.00858,42954.55,11080,DNAJB4,Homo sapiens,DnaJ heat shock protein family (Hsp40) member B4(DNAJB4)
6818,NM_001135004,1.54,0.0162,2639.07,25822,DNAJB5,Homo sapiens,DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
6831,NM_013238,1.68,0.0089,19403.63,29103,DNAJC15,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C15(DNAJC15)
6834,NM_152686,2.42,0.00732,4987.89,202052,DNAJC18,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C18(DNAJC18)
6839,NM_194283,1.06,0.0283,5660.8,134218,DNAJC21,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C21(DNAJC21)
6855,NM_001144766,2.76,0.00408,1915.29,7266,DNAJC7,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C7(DNAJC7)
6867,NM_004944,2.74,0.0412,6.69,1776,DNASE1L3,Homo sapiens,deoxyribonuclease 1L3(DNASE1L3)
6886,NM_001005362,2.04,0.000565,23497.68,1785,DNM2,Homo sapiens,dynamin 2(DNM2)
6909,NM_014597,1.37,0.011,35278.89,30836,DNTTIP2,Homo sapiens,deoxynucleotidyltransferase terminal interacting protein 2(DNTTIP2)
6918,NM_024940,1.8,0.0018,38823.54,80005,DOCK5,Homo sapiens,dedicator of cytokinesis 5(DOCK5)
6920,NM_033407,1.1,0.0439,21001.86,85440,DOCK7,Homo sapiens,dedicator of cytokinesis 7(DOCK7)
6927,NM_001145165,1.11,0.00127,12278.52,83475,DOHH,Homo sapiens,deoxyhypusine hydroxylase(DOHH)
6928,NM_001381,2.99,0.0207,627.66,1796,DOK1,Homo sapiens,docking protein 1(DOK1)
6940,NM_017613,1.15,0.0481,13522.07,29980,DONSON,Homo sapiens,DNA replication fork stabilization factor DONSON(DONSON)
6957,NM_001384,1.29,0.00011,38297.69,1802,DPH2,Homo sapiens,diphthamide biosynthesis 2(DPH2)
6959,NM_206831,1.84,0.000116,21104.94,285381,DPH3,Homo sapiens,diphthamide biosynthesis 3(DPH3)
6984,NM_139159,1.05,0.0103,75374.08,91039,DPP9,Homo sapiens,dipeptidyl peptidase 9(DPP9)
6992,NM_015283,1.6,0.0272,64423.32,23333,DPY19L1,Homo sapiens,dpy-19 like C-mannosyltransferase 1(DPY19L1)
6999,NM_001160301,3.64,0.00397,1548.98,1806,DPYD,Homo sapiens,dihydropyrimidine dehydrogenase(DPYD)
7000,NM_000110,6.83,0.000167,29706.2,1806,DPYD,Homo sapiens,dihydropyrimidine dehydrogenase(DPYD)
7002,NM_001386,3.9,0.0269,189534.9,1808,DPYSL2,Homo sapiens,dihydropyrimidinase like 2(DPYSL2)
7007,NM_001938,1.15,0.00942,98050.19,1810,DR1,Homo sapiens,down-regulator of transcription 1(DR1)
7045,NM_013352,5.0,0.000937,26184.06,29940,DSE,Homo sapiens,dermatan sulfate epimerase(DSE)
7046,NM_032160,4.96,0.00843,45400.28,92126,DSEL,Homo sapiens,dermatan sulfate epimerase like(DSEL)
7061,NM_183380,1.23,0.0321,42101.63,667,DST,Homo sapiens,dystonin(DST)
7063,NM_001144769,2.33,0.0282,58267.96,667,DST,Homo sapiens,dystonin(DST)
7064,NM_020388,5.34,0.00076,14824.89,667,DST,Homo sapiens,dystonin(DST)
7144,NM_001947,2.79,0.000554,54185.55,1849,DUSP7,Homo sapiens,dual specificity phosphatase 7(DUSP7)
7197,NM_003582,2.8,0.00436,15717.64,8444,DYRK3,Homo sapiens,dual specificity tyrosine phosphorylation regulated kinase 3(DYRK3)
7219,NM_173543,3.07,0.0211,3030.61,199221,DZIP1L,Homo sapiens,DAZ interacting zinc finger protein 1 like(DZIP1L)
7229,NM_203394,1.87,0.0291,38832.11,144455,E2F7,Homo sapiens,E2F transcription factor 7(E2F7)
7239,NM_024007,8.41,0.00416,1930.79,1879,EBF1,Homo sapiens,EBF transcription factor 1(EBF1)
7264,NM_018479,2.85,0.00228,18916.49,55862,ECHDC1,Homo sapiens,ethylmalonyl-CoA decarboxylase 1(ECHDC1)
7265,NM_001002030,3.34,0.0104,13486.14,55862,ECHDC1,Homo sapiens,ethylmalonyl-CoA decarboxylase 1(ECHDC1)
7278,NM_001142465,1.53,0.00102,418.4,51295,ECSIT,Homo sapiens,ECSIT signaling integrator(ECSIT)
7289,NM_145861,1.85,0.00385,868627.82,128178,EDARADD,Homo sapiens,EDAR associated via death domain(EDARADD)
7330,NM_001135650,1.46,0.047,5071.43,9521,EEF1E1,Homo sapiens,eukaryotic translation elongation factor 1 epsilon 1(EEF1E1)
7378,NM_004429,1.43,0.0407,13608.42,1947,EFNB1,Homo sapiens,ephrin B1(EFNB1)
7401,NM_201283,2.1,0.0235,2073.82,1956,EGFR,Homo sapiens,epidermal growth factor receptor(EGFR)
7402,NM_005228,2.45,0.0382,86821.69,1956,EGFR,Homo sapiens,epidermal growth factor receptor(EGFR)
7418,NM_001142616,1.21,0.0286,17680.58,23301,EHBP1,Homo sapiens,EH domain binding protein 1(EHBP1)
7421,NM_014601,3.41,0.00759,213525.16,30846,EHD2,Homo sapiens,EH domain containing 2(EHD2)
7434,NM_152361,1.48,0.0205,2319.17,126272,EID2B,Homo sapiens,EP300 interacting inhibitor of differentiation 2B(EID2B)
7440,NM_005875,1.23,0.00423,20026.64,10289,EIF1B,Homo sapiens,eukaryotic translation initiation factor 1B(EIF1B)
7451,NM_020365,1.17,0.016,4632.31,8891,EIF2B3,Homo sapiens,eukaryotic translation initiation factor 2B subunit gamma(EIF2B3)
7475,NR_003024,1.31,0.000751,3126.48,442720,EIF3IP1,Homo sapiens,eukaryotic translation initiation factor 3 subunit I pseudogene 1(EIF3IP1)
7480,NM_001416,1.06,0.0397,233992.77,1973,EIF4A1,Homo sapiens,eukaryotic translation initiation factor 4A1(EIF4A1)
7504,NM_003760,1.92,0.00328,23299.12,8672,EIF4G3,Homo sapiens,eukaryotic translation initiation factor 4 gamma 3(EIF4G3)
7510,NM_001970,1.28,0.0273,250038.46,1984,EIF5A,Homo sapiens,eukaryotic translation initiation factor 5A(EIF5A)
7511,NM_001143760,1.98,0.0262,63745.85,1984,EIF5A,Homo sapiens,eukaryotic translation initiation factor 5A(EIF5A)
7512,NM_001143762,2.66,0.00878,4147.7,1984,EIF5A,Homo sapiens,eukaryotic translation initiation factor 5A(EIF5A)
7513,NM_020390,2.3,0.000279,23160.49,56648,EIF5A2,Homo sapiens,eukaryotic translation initiation factor 5A2(EIF5A2)
7514,NM_001099692,1.35,0.00987,127468.77,143244,EIF5AL1,Homo sapiens,eukaryotic translation initiation factor 5A like 1(EIF5AL1)
7517,NM_181468,1.29,0.0493,64601.4,3692,EIF6,Homo sapiens,eukaryotic translation initiation factor 6(EIF6)
7518,NM_181466,1.54,0.0277,15979.98,3692,EIF6,Homo sapiens,eukaryotic translation initiation factor 6(EIF6)
7545,NM_005230,3.16,0.00979,42843.73,2004,ELK3,Homo sapiens,ETS transcription factor ELK3(ELK3)
7549,NM_012081,3.99,0.00111,142026.7,22936,ELL2,Homo sapiens,elongation factor for RNA polymerase II 2(ELL2)
7622,NM_001423,5.99,0.0061,201202.7,2012,EMP1,Homo sapiens,epithelial membrane protein 1(EMP1)
7624,NM_001425,6.89,7.01e-05,46410.6,2014,EMP3,Homo sapiens,epithelial membrane protein 3 (MAM blood group)(EMP3)
7637,NM_001426,6.34,0.037,10763.01,2019,EN1,Homo sapiens,engrailed homeobox 1(EN1)
7640,NM_018212,1.8,0.0117,187713.46,55740,ENAH,Homo sapiens,ENAH actin regulator(ENAH)
7648,NM_001114753,2.65,0.0117,22458.96,2022,ENG,Homo sapiens,endoglin(ENG)
7661,NM_001127615,2.24,0.0113,1181.65,55068,ENOX1,Homo sapiens,ecto-NOX disulfide-thiol exchanger 1(ENOX1)
7662,NM_017993,3.34,0.0286,1905.15,55068,ENOX1,Homo sapiens,ecto-NOX disulfide-thiol exchanger 1(ENOX1)
7695,NM_004901,1.49,0.0333,12292.74,9583,ENTPD4,Homo sapiens,ectonucleoside triphosphate diphosphohydrolase 4(ENTPD4)
7703,NM_020189,1.0,0.0277,10342.63,56943,ENY2,Homo sapiens,ENY2 transcription and export complex 2 subunit(ENY2)
7714,NM_001431,3.16,0.000903,23881.82,2037,EPB41L2,Homo sapiens,erythrocyte membrane protein band 4.1 like 2(EPB41L2)
7730,NM_020964,1.1,0.017,54620.21,57724,EPG5,Homo sapiens,ectopic P-granules 5 autophagy tethering factor(EPG5)
7731,NM_001013442,5.54,0.00871,12.78,255324,EPGN,Homo sapiens,epithelial mitogen(EPGN)
7735,NM_004431,5.47,0.00208,147578.11,1969,EPHA2,Homo sapiens,EPH receptor A2(EPHA2)
7739,NM_004439,2.89,0.0245,956.05,2044,EPHA5,Homo sapiens,EPH receptor A5(EPHA5)
7799,NM_001006600,3.56,0.00243,43987.84,55914,ERBIN,Homo sapiens,erbb2 interacting protein(ERBIN)
7812,NM_202001,1.06,0.00763,9362.71,2067,ERCC1,Homo sapiens,"ERCC excision repair 1, endonuclease non-catalytic subunit(ERCC1)"
7813,NM_001130867,1.38,0.0344,2979.02,2068,ERCC2,Homo sapiens,"ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)"
7835,NM_001142725,2.35,0.0492,4940.61,112479,ERI2,Homo sapiens,ERI1 exoribonuclease family member 2(ERI2)
7842,NM_006459,1.37,0.0192,24830.54,10613,ERLIN1,Homo sapiens,ER lipid raft associated 1(ERLIN1)
7860,NM_018948,1.92,0.00784,98356.46,54206,ERRFI1,Homo sapiens,ERBB receptor feedback inhibitor 1(ERRFI1)
7880,NR_027122,2.66,0.0327,12665.12,790952,ESRG,Homo sapiens,embryonic stem cell related(ESRG)
7895,NM_020728,1.84,0.00574,42353.14,57488,ESYT2,Homo sapiens,extended synaptotagmin 2(ESYT2)
7911,NM_001143820,2.92,0.00831,642.67,2113,ETS1,Homo sapiens,"ETS proto-oncogene 1, transcription factor(ETS1)"
7913,NM_005238,9.52,0.000666,127609.99,2113,ETS1,Homo sapiens,"ETS proto-oncogene 1, transcription factor(ETS1)"
7914,NM_005239,2.3,0.0161,58999.29,2114,ETS2,Homo sapiens,"ETS proto-oncogene 2, transcription factor(ETS2)"
7916,NM_001163148,4.17,0.0466,1068.87,2115,ETV1,Homo sapiens,ETS variant transcription factor 1(ETV1)
7917,NM_004956,4.75,0.0299,4840.94,2115,ETV1,Homo sapiens,ETS variant transcription factor 1(ETV1)
7927,NM_001079675,4.31,0.0248,2864.41,2118,ETV4,Homo sapiens,ETS variant transcription factor 4(ETV4)
7928,NM_004454,5.97,0.000626,23876.91,2119,ETV5,Homo sapiens,ETS variant transcription factor 5(ETV5)
7932,NM_001135032,5.87,0.000328,9073.11,84141,EVA1A,Homo sapiens,"eva-1 homolog A, regulator of programmed cell death(EVA1A)"
7993,NM_181503,1.44,0.0352,4057.25,11340,EXOSC8,Homo sapiens,exosome component 8(EXOSC8)
7999,NM_000127,2.9,0.0462,160395.06,2131,EXT1,Homo sapiens,exostosin glycosyltransferase 1(EXT1)
8003,NM_001033025,1.1,0.0301,2734.82,2135,EXTL2,Homo sapiens,exostosin like glycosyltransferase 2(EXTL2)
8004,NM_001439,2.22,0.0189,19231.99,2135,EXTL2,Homo sapiens,exostosin like glycosyltransferase 2(EXTL2)
8005,NM_001440,1.91,0.00176,76160.74,2137,EXTL3,Homo sapiens,exostosin like glycosyltransferase 3(EXTL3)
8033,NM_001992,2.82,0.0276,61948.4,2149,F2R,Homo sapiens,coagulation factor II thrombin receptor(F2R)
8054,NM_001444,2.99,0.00843,23011.51,2171,FABP5,Homo sapiens,fatty acid binding protein 5(FABP5)
8055,NR_002935,2.73,0.019,144.3,220832,FABP5P3,Homo sapiens,fatty acid binding protein 5 pseudogene 3(FABP5P3)
8061,NM_013402,2.68,0.00169,58082.31,3992,FADS1,Homo sapiens,fatty acid desaturase 1(FADS1)
8077,NM_001033030,1.78,0.0415,476.63,55179,FAIM,Homo sapiens,Fas apoptotic inhibitory molecule(FAIM)
8093,NM_007177,2.01,0.0491,137.93,11170,FAM107A,Homo sapiens,family with sequence similarity 107 member A(FAM107A)
8094,NM_001076778,4.29,0.0431,573.17,11170,FAM107A,Homo sapiens,family with sequence similarity 107 member A(FAM107A)
8133,NM_032581,1.85,0.02,22775.25,84668,HYCC1,Homo sapiens,hyccin PI4KA lipid kinase complex subunit 1(HYCC1)
8170,NM_014883,2.26,0.0496,2989.68,10144,FAM13A,Homo sapiens,family with sequence similarity 13 member A(FAM13A)
8205,NM_032180,1.37,0.0474,3888.84,84140,FAM161A,Homo sapiens,FAM161 centrosomal protein A(FAM161A)
8207,NM_014367,1.51,0.00701,13611.06,26355,FAM162A,Homo sapiens,family with sequence similarity 162 member A(FAM162A)
8220,NM_001010924,7.67,0.0101,55097.81,221061,FAM171A1,Homo sapiens,family with sequence similarity 171 member A1(FAM171A1)
8311,NM_152352,1.45,0.000991,30113.9,125228,FAM210A,Homo sapiens,family with sequence similarity 210 member A(FAM210A)
8312,NM_001098801,1.98,0.0233,4688.47,125228,FAM210A,Homo sapiens,family with sequence similarity 210 member A(FAM210A)
8341,NM_013300,2.03,0.0325,2717.46,29902,FAM216A,Homo sapiens,family with sequence similarity 216 member A(FAM216A)
8414,NM_024792,2.27,0.000175,13465.95,79850,TLCD3A,Homo sapiens,TLC domain containing 3A(TLCD3A)
8437,NM_001006605,1.81,0.0359,12060.98,388650,DIPK1A,Homo sapiens,divergent protein kinase domain 1A(DIPK1A)
8496,NM_198552,1.58,0.0112,4987.81,375061,FAM89A,Homo sapiens,family with sequence similarity 89 member A(FAM89A)
8504,NM_145269,2.81,0.00162,5039.19,137392,CIBAR1,Homo sapiens,CBY1 interacting BAR domain containing 1(CIBAR1)
8512,NM_015475,1.22,0.00162,45590.66,25940,FAM98A,Homo sapiens,family with sequence similarity 98 member A(FAM98A)
8526,NM_001018113,1.45,0.0187,4910.89,2187,FANCB,Homo sapiens,FA complementation group B(FANCB)
8571,NM_024582,6.68,2.85e-05,22450.35,79633,FAT4,Homo sapiens,FAT atypical cadherin 4(FAT4)
8578,NM_001436,1.11,0.0124,40429.07,2091,FBL,Homo sapiens,fibrillarin(FBL)
8618,NM_012304,7.68,0.0344,24599.62,23194,FBXL7,Homo sapiens,F-box and leucine rich repeat protein 7(FBXL7)
8628,NM_024907,1.51,0.00222,10264.89,115290,FBXO17,Homo sapiens,F-box protein 17(FBXO17)
8647,NM_032145,1.77,0.000639,42198.34,84085,FBXO30,Homo sapiens,F-box protein 30(FBXO30)
8674,NM_012177,2.02,0.0313,10064.98,26271,FBXO5,Homo sapiens,F-box protein 5(FBXO5)
8776,NM_006832,3.34,0.000356,74752.61,10979,FERMT2,Homo sapiens,FERM domain containing kindlin 2(FERMT2)
8788,NM_005102,1.58,0.00445,9557.82,9637,FEZ2,Homo sapiens,fasciculation and elongation protein zeta 2(FEZ2)
8807,NM_001144892,3.28,0.0283,203.25,2246,FGF1,Homo sapiens,fibroblast growth factor 1(FGF1)
8808,NM_000800,3.36,0.00882,368.3,2246,FGF1,Homo sapiens,fibroblast growth factor 1(FGF1)
8809,NM_033137,3.45,0.00327,104.68,2246,FGF1,Homo sapiens,fibroblast growth factor 1(FGF1)
8810,NM_001144935,3.85,0.033,579.25,2246,FGF1,Homo sapiens,fibroblast growth factor 1(FGF1)
8822,NM_004115,7.5,0.0445,428.08,2259,FGF14,Homo sapiens,fibroblast growth factor 14(FGF14)
8823,NM_175929,7.52,0.0473,444.07,2259,FGF14,Homo sapiens,fibroblast growth factor 14(FGF14)
8834,NM_033143,3.97,0.0305,14438.87,2250,FGF5,Homo sapiens,fibroblast growth factor 5(FGF5)
8835,NM_004464,6.36,0.0292,26860.52,2250,FGF5,Homo sapiens,fibroblast growth factor 5(FGF5)
8850,NM_023105,3.49,0.0009,31488.6,2260,FGFR1,Homo sapiens,fibroblast growth factor receptor 1(FGFR1)
